sentiment,text
positive,@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!
neutral,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0
positive,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E
negative,“@JetBlue: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.
positive,@SouthwestAir you know what'd be beyond awesome? A pair of tickets to the @Imaginedragons show in ATL. A girl can dream #DestinationDragons
negative,"@AmericanAir I have been trying to speak with an agent the whole day about my Cancelled Flightled flight, what I can do?"
neutral,@JetBlue y'all got prices for the low??
negative,@united  I understand that but why should I pay to change if it was a problem with your plane. If it was weather I would understand
negative,“@JetBlue: Our fleet's on fleek. http://t.co/tLGoihqkvS” 😐 make it stop.
negative,@JetBlue - In CA for the weekend to attend a training camp; thanks for sending all my gear to FL; looks like this trip is a waste #nothappy
negative,".@united I think not. I'm not flying you again, if I can help it."
negative,@USAirways no my flight plans have been delayed until tuesday due to your computer crash
negative,@united my bag is a few days Late Flight to me and this is like the 3rd time in the past couple months.  Where my free miles at?!
negative,@united tried to check it 40 mins before a flight rather than 45 mins and we are stonewalled by your employees...
negative,@SouthwestAir I'm stuck in Fort Lauderdale.
positive,@SouthwestAir A+ to the Safety Dos and Don'ts Announcer. Flight 651 from Midway (MDW) to Pittsburgh (PIT)!
negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.
positive,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR
positive,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
positive,@united thank you for the help!!
positive,"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise"
negative,@USAirways the link doesn't work..
negative,"@AmericanAir already spoke to that line, unwilling to help - really poor support #hitawall"
negative,@USAirways So frustrating because I still have not gotten them back. Why my bag was sent to NY is a mystery!  Shame on me this time!
negative,@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O
negative,"@USAirways me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed"
positive,@united thanks! :)
negative,@USAirways @JosephTReis Dont bother. They dont pick up the phone. Worst customer service going
positive,@JetBlue Love you guys sooooooo much. Ridiculously appreciated! A+ service!
negative,"@AmericanAir lies,lies,lies.  Worst travel experience of my life. Day 2 no clothes on vaca.  #lostluggage #unprofessional #pit #mia"
positive,@VirginAmerica thanks!
negative,@JetBlue How is it possible the only way to contact your fraud department is mailing a physical letter? No telephone? No email? REALLY??
negative,@USAirways no one at #clt knows about runway issues..my inbound flight was only one delayed..connection left without me..now I'm stuck!
negative,@AmericanAir working over time tonight?  Got delayed 2 days .. In SJU .. Could be worse :)
negative,"@jetblue when i sign in into TrueBlue, why do I have to do it twice? happens to everyone around me"
negative,@AmericanAir The wine served in USAirways flights are watered down somehow right out of the bottles.
neutral,@JetBlue Fliers to Gain Access to WSJ Content - Analyst Blog - Nasdaq http://t.co/dWEse7Xidr
neutral,@JetBlue when will you release flights for February 2016?
negative,@USAirways they finally answered. They were rude and didn't help me at all.
positive,@JetBlue Definitely! Lots of announcements and the app is great.
negative,@united now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow
negative,"@AmericanAir 45min wait to get de-iced in Tulsa.Not good service.Looks like everyone will miss connections, not due to weather. Fight is on"
negative,@AmericanAir you guys should really improve the service experience with your on site personnel. This has been one of the worst experiences.
positive,@JetBlue heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?
negative,"@usairways yep, sent my bag to Philadelphia instead of Miami...I caught it...then was told my flight changed to tomorrow, wrong again #fail"
negative,"@united working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR."
negative,@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating
negative,@united which is why my next flights to Miami will be on another airline.
negative,@JetBlue suck and their customer services are the worst  whats the point of having a loyalty scheme that they don't honor #badairline
neutral,@united can you send me another confirmation email?
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Xf9MPnAaJE
negative,@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location
negative,"@USAirways I've been on hold for 35 mins to sort out my reservation out of sync message when trying to check in, what's wrong?!?"
positive,"@AmericanAir thanks, I'll look forward to the response."
neutral,@SouthwestAir What are your services? What promotion you have at the moment? #ModeloDeNegocio #innovation #innovacion #BusinessModel
negative,@AmericanAir should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!
neutral,"@JetBlue Awww man...but I need to buy this ticket today and be home the 1st of March

Where do I go for this...or can you assist me ?"
negative,@AmericanAir I have been on hold w/customer service line for 68 minutes.  This after I was on phone with an agent for 35 min b/f call droped
negative,@USAirways help! I've been on hold for almost two hours. Trying 2 get home.
negative,"@AmericanAir @JimDayTV no, you couldn't care less. That's why their customer service is run by bots"
neutral,@JetBlue 6am Austin to JFK
negative,@SouthwestAir turned my non-stop flight between Laguardia/dal into a 1 stop in STL. WTH? I'm thinking some sorta comp is in order? REALLY?
negative,@united you're terrible.
neutral,@USAirways - what is your policy regarding large-size passengers who cannot fit into a single coach class seat?
negative,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture
negative,@USAirways worst trip ever!  Wish pilot would've let me off plane at 12pm during 1st delay.  Now 1030pm and still sitting on runway.
negative,@AmericanAir this is the biggest joke I've ever seen and will be telling everyone never to use you guys cause you are a joke
negative,@united I need help with a missing bag.
negative,@AmericanAir - And @AirSouthwest  had a flight from Chicago to Buffalo about an hour before our flight -- do they not care about safety?
negative,@USAirways 4 hours Late Flightr And i lost my conection 😡
negative,@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated
neutral,@SouthwestAir so was there a winner for #DestinationDragons ???
negative,"@SouthwestAir, you're really going to let @delta and @virginamerica get the best of you? http://t.co/vUdWJm1lYB"
neutral,@united any info on delays at SFO tomorrow due to low clouds?
negative,@united Nope - still no one helped me.  Giving up on united. #badservice
positive,@AmericanAir thanks! Flight 2160 today. Great crew!
negative,@united I hope your corporate office is ready to deal with the rage created by your shitty service and bullshit pilots. #UnitedAirlinesSucks
negative,@JetBlue would have been good to know months ago that you Cancelled Flightled our flights leaving tomorrow #telleveryone #jetblue #NeverAgain
negative,"2/2 @united You don't really care about our comfort, you care about profitability. That's fine, just own up to it. #unfriendlyskies"
negative,@SouthwestAir please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting
negative,"@SouthwestAir how is tkt in the A grp for a cxld flight gets stuck at the back of the Cs when your site, phone and agents took 1h to rebook"
negative,@united Stop pretending you care about the welfare of my daughter. United Airlines had the opportunity to help n failed # United airlines
negative,@USAirways where's our luggage? Been waiting more than an hour! Flight 2118.
negative,@USAirways why let passengers on board when there was an issue? Over an hour &amp; the pilot doesn't know when we'll leave.
negative,@SouthwestAir - you can do better than having someone on hold for over an hr http://t.co/FxNv618B1A
negative,@AmericanAir that's 16+ extra hours of travel time. Missed vacation time and now you guys are messing with my professional life.
negative,@SouthwestAir weather delays aren't your fault today but getting to hotel with two soaked suitcases and no dry clothes stinks frustrated
neutral,@SouthwestAir go @franks105 go!
neutral,@united This link in your tweet goes to someone's internal email -&gt; http://t.co/ZksX79itdN...... Probably one of your 3rd party IT contracts
negative,@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo
negative,@USAirways we're all standing here and no one is saying anything. I'll most likely be missing my flight to BWI AGAIN. http://t.co/JhaU4K48yv
negative,@JetBlue Why wasn't a $15 service credit voucher I received for tv not working accepted on my next flight for a pillow?
negative,@AmericanAir Customer service provides no wiggle room to change flight without a $200 change fee. @southwest has always been accommodating.
positive,"@united Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!"
negative,"@USAirways #not happy, wife 40th Bday trip. would like to be fully compensated for both flights"
negative,@AmericanAir that's unacceptable
negative,@SouthwestAir too Late Flight now
positive,@JetBlue thank you!!
negative,@SouthwestAir I had to switch airlines and eat the difference (which was not insubstantial) and Cancelled Flight all plans for sat &amp; sun :(
negative,@SouthwestAir So today I call into Customer Service &amp; speak with Wendell Holton in the Dallas office &amp; I am told there is nothing he can do
neutral,@AmericanAir I need some help. My record locator is bringing up TWO different flights in your system. One op by AA &amp; one from US Airways.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
negative,"@AmericanAir For the love of all that is holy, if your automated phone system is going to give like 8 options, give numerical shortcuts"
neutral,"Happy for SFO, but hopefully you'll add PDX soon “@JetBlue We added two new destinations (FLL and SFO) from Las Vegas in the last year!”"
negative,@SouthwestAir There is no way that I am getting back on a plane with your airline. I will be calling to get a refund. As I drive 17 hrs home
negative,@VirginAmerica SFO-PDX schedule is still MIA.
negative,@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy
negative,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
positive,"@AmericanAir Great, thanks. Followed."
negative,@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?
negative,@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??
negative,@AmericanAir Your people on the phone can't see those? And to have it be over $800 difference. That's a poor process then...
negative,"@AmericanAir trying to change flight via DFW tomorrow, can't get thru on phone, long wait then cut off x2, can you help please?"
positive,@united please give special thanks to Aaron in Tampa office for helping me for literally two hours! He's amazing. Mission accomplished!
negative,@JetBlue pls send an IT tech 2 baggage office. Poor guy is trying 2 print my claim &amp; can't. I need 2 get home. Upgrade 2 @HP printers MFPs
negative,@SouthwestAir been on hold for over an hour to speak to a customer service rep. What the heck?? #Southwest #customerservice
negative,@united 2 days and 3 planes with mechanical issues?  Now over 1.5 hrs Late Flight sitting on this plane. This is insane!!
negative,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline"
positive,"@JetBlue wow, keeping up with the times..."
neutral,"“@SouthwestAir: @pancho_joe No, no, you must've heard us wrong. Sweet mixtape,though"" 4 the record,I didn't leave the 80's, the 80's left me"
negative,@JetBlue why are you making me stay in JFK until 2 am or Late Flightr? Just let me rebook without making me pay more
negative,@united  Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.
negative,"@AmericanAir is there something wrong with the website? no matter what flight I select, it says it's no longer available."
negative,"@united I have tried and you have failed. Still no wifi ever, last row in the middle and I fly every week. Thanks for nothing."
negative,"@AmericanAir My reservation is on hold, not me.  Wish I was on hold but that's not possible with the phone issues at #americanair"
negative,@SouthwestAir I did. Still haven't heard a thing.
positive,"@JetBlue what can I say, I'm #LostinLove w/our #brandmance https://t.co/Bzwgp7aDVE #wemosaictogether #Mint #Love"
negative,"@USAirways Can't stress enough how awful the agent was for flight 5283. Knew 11 ppl from delayed flight were on way in mins, no compassion."
neutral,"@AmericanAir when changing dest city on an award for a reservation party of 4, is fee $150 for each pax or 150 for first and 25 for rest?"
negative,@USAirways stranding a student trying to get to Birmingham in CLT overnight w/o any help.  You can do better than that.  @av_duffy
neutral,@SouthwestAir Do you still offer discounts on seats for children under 2? We would rather put him in a seat than in a lap!
negative,@USAirways u guys suck
negative,"@AmericanAir just look at RDU airport. please think about the safety of your passengers. we cant get to RDU safely!

http://t.co/wDyEkVB1Ze"
negative,@USAirways no online clearly states I can NOT- It says to call res. I already explained that.
positive,Just got off the phone @AmericanAir customer service. Only 8 minutes to get my issue resoled. You guys are awesome.
negative,"@AmericanAir On hold since 5am. When no one can get to the airport, Cancelled Flight flight, don't make us pay huge fee to change flight."
negative,"@AmericanAir lost my wife's luggage and nobody gives you and answer, all they say is go here or call there."
negative,@USAirways only happened because u couldn't get us home the next day. #flydelta #flysouthwest #flyjetblue #theyareallbetter #stillnobags
neutral,@SouthwestAir followed.
neutral,@JetBlue should I check in my awesome bag on my flight or carry it on... Decisions...
negative,@SouthwestAir I tried to return to orig booked flt. told overbooked.Gng to diff dest.Feel like we were switched on purpose bec of overbook.
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
negative,"@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night."
negative,@USAirways I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.
positive,"@JetBlue after my second call to customer service and the fifth person I talked to, an amazing rep fixed it in about 5 mins! :) #persistence"
positive,@southwestair SWEET!!! Glad to hear it. I'll keep you guys in mind next time!
neutral,"@AmericanAir Hahaha.... ""Meanwhile in Russia...."""
negative,@SouthwestAir how often are airplane seats/tray tables cleaned and sanitized? rather have air purifier and clean seats than #wifi 😷😱
negative,@united appreciate getting put on hold for 20min and then getting hung up on because I was requesting help for big group. I'll try #Delta
neutral,"@SouthwestAir adding direct flights from #Columbus to #Oakland, @BostonLogan 
http://t.co/p8Vcz4XTHM via @DispatchAlerts"
negative,@AmericanAir don't you guys have an email address? Just put me on the next available flight from ohare
negative,"@AmericanAir The point of the pic: If your reps struggle with the merger this much, imagine how it is for the public! http://t.co/hQdB5IRuVg"
negative,"@JetBlue not to get into semantics here but ""by"" means ""within the extent or period of; during"" and it is still technically 2/19 #dictionary"
negative,@USAirways back in line at terminal because phone guy couldn't help.  One person in front of me 20 min wait again? http://t.co/HQHdAD7fvK
positive,@AmericanAir thanks for responding ... will do!
positive,"@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!"
negative,"@AmericanAir, I've been booked on the wrong flight! And now PE desk has a wait of more than 2 hours?!"
neutral,@united what happened to flight status map? It was so cool..
negative,"@southwestair three flights with three  check in agents, not enough. #missedflight  back to Jet Blue"
positive,@AmericanAir Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!
positive,@USAirways how about a drink voucher for the next flight?? #winkwink
negative,@USAirways what happens if the flight takes off before we Cancelled Flight?? That's the issue. We don't want to pay because of your inaccessibility!
negative,@united not able to DM you my confirmation number
negative,"@USAirways Seriously, flight delay Cinci to Philly due to new ground staff, miss connection to MAN UK and now have to argue for hotel. WTF"
negative,@USAirways your customer service is a nightmare. I have been on hold for 1 hour. I'm a platinum member with AA and feel like it's worthless
positive,@USAirways 603 &amp; 2705 DFW to PSP thank you!
negative,"@USAirways Oh yes, because I had loads of time running to my connecting flight after you delayed me for about 90 minutes..."
positive,@united thnx ^LO :-)
negative,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
negative,@AmericanAir they were no where to be found at Midnight Last Night! I would think the agent in LAX could have relayed that info.Bag on flt
negative,@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?
positive,@SouthwestAir I agree! RT @9NEWS: One airline is the fly-away favorite at DIA  #9NEWSBusiness http://t.co/o3WlaInImY
negative,@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!
positive,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons
negative,"@USAirways wont waive fees for flight Cancelled Flightlation due to #neptune To use credit, $200 fee. Couldnt reach destination @BostonBBB #notmyfault"
negative,@JetBlue get flight 16 into the air
negative,@USAirways I've been on hold for 40 minutes just to get a receipt. I know you guys are busy but I think it's time to higher more staff!
negative,@JetBlue why did you just Cancelled Flight flight 670 last minute?!?
positive,@SouthwestAir thank you for the confirmation. Maybe people on my flight have directional dislexia.
negative,@AmericanAir but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
negative,"@united ouch, delays due to mechanical issues again QRO will have to wait! Yall seem to be falling apart #alwaysdelayed #unitedfail"
negative,@united does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter
negative,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways
negative,"@United: I feel very well informed. yes, the flight is indeed delayed. Thank you. http://t.co/FuCHZRZjg5"
negative,@AmericanAir overall lack of attention or foresight when managing flights.
negative,@USAirways Seriously? I should keep trying after seven hours. That is your corporate policy? #usairwaysfail
negative,@SouthwestAir frustrating indeed especially when no one knows what the issue is....
negative,@USAirways now U horrible people say you have no where for her to sleep?
negative,@USAirways got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6
positive,@USAirways thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel. #customerservice
neutral,@usairways I don't think the US site allows that (unlike http://t.co/etfjqIwUvt). Can I use a US credit if I held on http://t.co/etfjqIwUvt?
negative,"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !"
negative,"@JetBlue She claimed that she did, but I was not happy with the way I was treated."
negative,@united terrible travel experience. Traveled 8000 miles roundtrip but two Cancelled Flightlations of short hops cost me two days
neutral,@JetBlue Celebrates 15-Year Anniversary With New Livery - @CNNMoney http://t.co/p7skxZVe1A
negative,@USAirways I would be willing to pay anything to change a flight! @AllegiantTravel does not! help!
negative,@united how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs
negative,@USAirways horrible travel day w/ your airlines. My 2:20 flight to Birmingham was Cancelled Flightled w/ no notification so I couldn't get on the 4:05
negative,"@SouthwestAir Buying Early Bird was pointless. You moved me to a diff flight b/c first one was delayed, so I lost my boarding position."
negative,@AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?
negative,@USAirways they told me to call back Late Flightr
positive,"@USAirways Thank you, @USAirways!  Your fare to from DTW to DCA was much lower than @Delta and @SouthwestAir!  Thank you! You won me over!"
negative,@AmericanAir No. I was told I got put on another flight and that I would get an email. Still haven't gotten one yet.
negative,"@AmericanAir The delay is nothing but the personnel being so combative up to the point of saying ""what's the hury,  the plane is not leaving"
negative,@AmericanAir - very upset with my hometown airline. Stuck in Den Flt Cancelled Flightled. Others here with me got new Flt info
negative,@united each flight is worse than last! flight attendants don't even know whether the plane is equipped with power outlets at the seats!
positive,@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U
neutral,@SouthwestAir CEO using #Vegas band to help ‘connect’ to people. http://t.co/89gKYuf1Qh  #aviation #business #marketing #consumermarketing
negative,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?
negative,@SouthwestAir I am trying to change a ticket for travel on Monday that cannot be changed online. Anyway faster than waiting on hold? #anhour
negative,@USAirways big problem!!! Fll to clt then got off on clt but my fly to gso is Cancelled Flightled had to rent a car to get to my pops funeral
positive,@united thanks! Everything a-ok now.
negative,@jetblue trading customer experience for short term $$. So sad for this (previous?) loyal customer. https://t.co/dFmvmiBH4x
neutral,😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”
negative,@USAirways 2 hours on hold. Still no answer. Horrible.
negative,@united  they were empty upon takeoff. Why can't someone sit there?
positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative,@SouthwestAir been on hold for 1.5 hrs. What's up?
negative,@AmericanAir lost @LeslieWolfson luggage on flight yesterday morning #Miami to #NewYork #LGA no response and no luggage more than 37 hrs ltr
positive,@AmericanAir got another flight. Thanks you
neutral,@USAirways if I have Dividend Miles credit card &amp; I used it to book my flight is one bag free?
neutral,"@united can someone at the airport in Portland, OR buy a ticket to be picked up and used 2days Late Flightr by other from Perth, AUSTRALIA? Thanks"
negative,"@united your staff at LaGuardia and Lagos, Nigeria were unprofessional, uncaring and not helpful. Ou"
negative,"@AmericanAir thanks for the call on my Cancelled Flightled flight, NOT!  Flight Booking Problems me for Tues no good weather caused me 2 leave early"
negative,@JetBlue someone should screen what you play on your flights. http://t.co/tNY9uIpha5
negative,@SouthwestAir @PoteetTJ had to fly @Delta MCO-&gt;CMH for $400 b/c we cldnt reach SWA to reroute SWA 3104 Cancelled Flightlation. Voucher wld help.
negative,"@AmericanAir your definition and mine of 10 min is vastly different. I understand the need to get off the plane for maint, but be honest."
neutral,"@SouthwestAir I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!"
negative,@united you guys suck!
neutral,@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?
positive,"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive"
positive,@USAirways ok thank you! Very helpful! This is why you're my favorite airline!
negative,@AmericanAir 2293 is the Cancelled Flightled one
neutral,"@united 6344,6373, Sfo-Dfw also 1576 SFO-ORD"
negative,"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?"
negative,@JetBlue Thank you for credits. However; I submitted complaints about the property on vacation package. Hope you listen!
neutral,@SouthwestAir Is there any chance I can get tickets for the Vegas stop? I missed my chance to enter the contest but I love ID to death !
negative,@JetBlue shut up an turn on the tvs/music
negative,@SouthwestAir jumped the gun a little Cancelled Flighting our flights? No other airline is Cancelled Flighting out of Louisville. You're ruining my vacation.
negative,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays."
negative,@united delayed going home AGAIN. Getting really tired of delays.
negative,@SouthwestAir no I wasn't. After over an hour was too frustrated and had to hang up.
positive,@SouthwestAir thanks for the follow up. So glad to get my bag back.
negative,"@USAirways you told us last night that there was a ground stop at O'Hare FOUR HOURS AFTER Obama landed, stop blaming someone else"
negative,@united My flying United is over...sorry. The Captain still had 20 minutes of pre-flight preparations to make while we sat with no air!
negative,@united its not the way to treat your customers we had a lot of issues and it was not worth our headache we went thru
negative,"@united ""We like hearing from you."" So why haven't you replied to my tweet and/or email yet? https://t.co/caf2cx3gfi"
negative,@usairways 3rd time cut off after 10+ minutes on hold with Chairmans desk?!??? Wth how are we supposed to rebook Cancelled Flightled flights?!?!?
negative,@united $7 for wifi just so I can tell my family I'm gonna be Late Flight cause i had to sit in a grounded plane for the past two hours...
negative,"“@AmericanAir: @RussellsWriting Russ, please contact Reservations at 800-433-7300 for reFlight Booking Problems options.” Good luck with that!"
neutral,@JetBlue Airways Corporation (NASDAQ:JBLU) Update: @JetBlue says #Lufthansa ... - Markets Bureau http://t.co/aPY3zLSqUu
